"id","userid","track","artist","genre","city","time","Report_date","Weekday"
0.0,FFB692EC,Kamigata To Boots,The Mass Missile,rock,Saint-Petersburg,0.8531597222222222,2023-02-01 00:00:00.000,1900-01-04 00:00:00.000
1.0,"55204538",Delayed Because of Accident,Andreas Rönnberg,rock,Moscow,0.5882986111111111,2023-01-25 00:00:00.000,1900-01-04 00:00:00.000
2.0,"20EC38",Funiculì funiculà,Mario Lanza,pop,Saint-Petersburg,0.8736921296296297,2023-02-04 00:00:00.000,1900-01-07 00:00:00.000
3.0,A3DD03C9,Dragons in the Sunset,Fire + Ice,folk,Saint-Petersburg,0.35913194444444446,2023-02-04 00:00:00.000,1900-01-07 00:00:00.000
4.0,E2DC1FAE,Soul People,Space Echo,dance,Moscow,0.35733796296296294,2023-05-02 00:00:00.000,1900-01-03 00:00:00.000
5.0,"842029A1",Преданная,IMPERVTOR,rusrap,Saint-Petersburg,0.5483912037037036,2023-04-02 00:00:00.000,1900-01-01 00:00:00.000
6.0,"4CB90AA5",True,Roman Messer,dance,Moscow,0.5417476851851851,2023-01-15 00:00:00.000,1900-01-01 00:00:00.000
7.0,F03E1C1F,Feeling This Way,Polina Griffith,dance,Moscow,0.8665393518518519,2023-02-21 00:00:00.000,1900-01-03 00:00:00.000
10.0,BC5A3A29,Gool la Mita,Shireen Abdul Wahab,world,Moscow,0.589375,2023-03-04 00:00:00.000,1900-01-07 00:00:00.000
11.0,"8B5192C0",Is There Anybody Out There? (Panoramic Paralysis) Mix,Pink Floyd Floydhead,electronic,Moscow,0.5748726851851852,2023-04-05 00:00:00.000,1900-01-04 00:00:00.000
12.0,FF3FD2BD,Мина син генэ кирэк,Ильдар Хакимов,pop,Moscow,0.388761574074074,2023-03-19 00:00:00.000,1900-01-01 00:00:00.000
13.0,CC782B0F,After School Special,Detroit Grand Pubahs,dance,Moscow,0.83625,2023-01-14 00:00:00.000,1900-01-07 00:00:00.000
14.0,"94EB25C2",Make Love Whenever You Can,Arabesque,pop,Saint-Petersburg,0.5570370370370371,2023-04-17 00:00:00.000,1900-01-02 00:00:00.000
16.0,"81D05C7D",SLAVES OF FEAR,HEALTH,alternative,Saint-Petersburg,0.8713888888888889,2023-01-14 00:00:00.000,1900-01-07 00:00:00.000
17.0,"39DE290E",Веснянка,Веданъ Колодъ,folk,Saint-Petersburg,0.6088773148148149,2023-04-22 00:00:00.000,1900-01-07 00:00:00.000
18.0,"58AE138A",Pat-a-Cake,Mother Goose Club,children,Saint-Petersburg,0.8367592592592592,2023-01-25 00:00:00.000,1900-01-04 00:00:00.000
19.0,"772F5B59",Sweetback,The Fabulous Three,rnb,Moscow,0.5810416666666667,2023-02-16 00:00:00.000,1900-01-05 00:00:00.000
20.0,"201CF2A8",Ya'll In Trouble,Lil Tee Chill Tank Young Buck Brother Mohammed and Tara,hip,Moscow,0.3653125,2023-03-06 00:00:00.000,1900-01-02 00:00:00.000
21.0,"44B8E869",Nanovirus,Exotype,rock,Moscow,0.9004629629629629,2023-04-13 00:00:00.000,1900-01-05 00:00:00.000
23.0,A729591B,Gavotte,Hachidai Nakamura,jazz,Moscow,0.5805555555555556,2023-04-16 00:00:00.000,1900-01-01 00:00:00.000
24.0,"8BA8855",A Universal Weakness,Lowercase Noises,postrock,Saint-Petersburg,0.8870949074074074,2023-05-23 00:00:00.000,1900-01-03 00:00:00.000
25.0,A4504035,Cradle in Bethlehem,Nat King Cole,jazz,Saint-Petersburg,0.3909837962962963,2023-05-16 00:00:00.000,1900-01-03 00:00:00.000
26.0,"982219FD",We Not Speak Americano,Genio Band,pop,Saint-Petersburg,0.8354513888888889,2023-02-09 00:00:00.000,1900-01-05 00:00:00.000
27.0,"9CC6AA46",Mucho Corazón,Buena Vista Social Club,latin,Moscow,0.5877546296296297,2023-04-06 00:00:00.000,1900-01-05 00:00:00.000
28.0,D8D698A9,Romantici,Viola Valentino,pop,Moscow,0.3495486111111111,2023-03-16 00:00:00.000,1900-01-05 00:00:00.000
29.0,"5661F63E",Cюита из балета «Семь красавиц»: I. Вальс,Рауф Абдуллаев Азербайджанский государственный симфонический оркестр,classical,Saint-Petersburg,0.35692129629629626,2023-05-12 00:00:00.000,1900-01-06 00:00:00.000
30.0,EBA5A8B2,Päivän Nousu Nostajani,Värttinä,world,Saint-Petersburg,0.33369212962962963,2023-03-25 00:00:00.000,1900-01-07 00:00:00.000
31.0,F6A44469,Veritas Universalis,Devathorn,metal,Saint-Petersburg,0.8470138888888888,2023-01-10 00:00:00.000,1900-01-03 00:00:00.000
32.0,"84AFC19A",Carry On,Young Rising Sons,alternative,Saint-Petersburg,0.8505902777777777,2023-02-24 00:00:00.000,1900-01-06 00:00:00.000
